x,y
-1207.2657936151597,-641.2474589164143
-1204.4536065442476,-678.1641189141127
-1204.3565654068814,-716.2589097954315
-1205.8896942566014,-757.8377846120637
-1206.1054769242198,-799.4489217788714
-1208.7402457770545,-843.1406055568823
-1209.3615783195553,-889.492065947996
-1210.5853375727631,-934.392156941527
-1209.925056256201,-982.7425505916739
-1212.4409988738198,-1035.190748968447
-1220.949530791934,-1094.1857672529636
-1225.6164756632368,-1151.94976217838
-1223.8935610257095,-1209.5722854711114
-1224.016556069558,-1267.796723835339
-1121.0738273782242,-1284.2764640323903
-1005.0693660362213,-1275.9402932565256
-958.2710105652321,-1280.6704963847214
-918.7329337433839,-1292.7976626120867
-882.8778052730921,-1310.0140623123739
-862.2577857162078,-1345.7022603353917
-885.3207741799282,-1627.8255824275072
-818.3391818642014,-1809.288270543373
-764.4241935352712,-1809.6728716367359
-711.4118319036812,-1808.0769357047418
-654.4434386196438,-1789.5904659021003
-598.2338608267377,-1770.9352925108064
-550.8108700574063,-1769.5035879948373
-504.2722023328752,-1773.9694496958937
-456.55800044910745,-1774.1980701787252
-410.5694416792025,-1774.8819104546724
-364.7230267209364,-1773.8934899760807
-319.7942710728822,-1775.1748327105597
-276.29859620353733,-1777.1497786444322
-231.24442772709338,-1776.7650596365206
-186.2604116880715,-1778.7746650539493
-143.2625431081609,-1779.492457483926
-97.3580033878028,-1778.086606911019
-55.68069533348362,-1781.3800051272551
-10.02502467073306,-1786.2218679045309
32.35295208161915,-1785.9569840820927
76.37534530009835,-1789.3707851170172
121.35878087336145,-1788.6376404417222
164.33555379626145,-1786.2062837921258
208.70903164684646,-1795.1582388772963
255.24889692284333,-1811.1015986464347
302.03495860672325,-1818.8427491895595
346.9049736038771,-1817.9473319623132
385.7221472320249,-1168.218082223827
417.9633922243107,-1172.7453273240303
456.1965714033343,-1184.164552855659
488.7597671775172,-1185.9854351924307
522.1577031911139,-1183.6977635774178
557.0128877407219,-1183.193435322704
593.8212418487656,-1184.203907791724
629.9280408313863,-1187.5178844439909
670.5390477184727,-1186.3662790153824
705.9270675669725,-1182.5753835490975
745.8272722707751,-1183.9097273175582
788.4978756046941,-1183.9667859221745
828.2330982789209,-1179.810232586283
870.0674909865426,-1179.5785788273636
917.4233726925464,-1183.254798315829
967.2191124225222,-1184.199387166109
1015.2088755620714,-1183.1449357454035
1065.0445297659014,-1181.9311103510772
1118.0260149395613,-1183.0417965644172
1156.5507239881013,-1164.5136260871311
1196.6919616812459,-1147.1980697976664
1256.4712949020377,-1149.1899092783563
1320.3107327465002,-1149.3606131212257
1385.2301025485276,-1148.6243132518985
1453.2440214638614,-1146.0180524666894
1304.4004907450671,-875.9942478372949
1325.524707591516,-843.2231315401789
1327.8330790395253,-799.1147456457138
1330.73595805123,-756.5298225777191
1336.4641362898076,-715.0955704737224
1339.2437082910337,-673.9264442822232
1343.0015768851652,-635.4524584766039
1349.3765107505262,-597.5124222430318
1353.3911247652704,-559.5468822239976
1357.4216613491467,-523.862036513549
1362.6328410197975,-486.1247813826356
1368.0932356175945,-450.9558167463649
1372.5393393924007,-416.1836425428947
1372.1854788586218,-378.7601637045992
1147.5477102596421,-222.924320516745
1057.5827689851255,-148.8041892748812
1054.177536989913,-122.31632354628829
1053.1534964935279,-95.78080613283949
1052.6923533587415,-69.74101504878212
1053.6110329243872,-43.290198659811374
1055.0760607925872,-19.159030309405555
1056.2182770518475,8.186190910706035
1056.9298325082718,34.72145092067
1058.7710071588856,60.53267216767257
1062.2698476390365,86.05715134106138
1055.6432356602975,165.25619203121397
1054.7655153234978,191.45158052195887
1053.9111689470278,218.14057501691315
1052.9562317544892,243.5235851193607
1052.5873447107947,272.34618457888985
1053.8474881569014,299.208492034216
1054.2151741898817,327.79012570209807
1052.7639680804466,356.5393071058401
1051.3139303881512,384.7327251116253
1053.4045498504881,413.7594915579463
1055.5916081826438,445.4990676021441
1056.2532809183851,475.2600015245835
1055.1269343632803,507.3092891729324
1054.8952482023153,538.7358028943088
1055.6705356215696,571.1040034183517
1056.1379536654633,605.705268944664
1057.549613343687,640.7191782026022
1058.3271560125906,676.8365336965061
1059.8052394604122,713.7632078723717
1061.333438198172,754.1719518534529
1064.1743721462387,794.8465060419898
1065.6396006945006,836.5164696117257
1065.7576348245304,880.2134549717032
1065.1062083402662,923.54958039892
1065.010664865182,969.2018797564433
1067.8156176611817,1021.8873747526529
1072.9163937372562,1074.9195200338681
1071.9828835922945,1129.893334472396
1072.20184021388,1184.5624830889967
1080.462888073524,1315.3915804792957
1079.5417218650555,1380.5237849282535
1141.255458430536,2381.6836436862277
1068.4577442639484,2381.280758063273
1002.0298719365621,2386.6856487075956
932.2123640191437,2384.504177155041
751.6963555006912,2249.477861999753
691.2009959503645,2250.7579685957407
632.7187554079325,2256.2108808919074
573.2785881502432,2258.3736759820026
511.8504011252492,2246.1685665523682
454.37334493465494,2250.3361806434373
397.17917889302987,2254.0242373039955
339.2420180487317,2246.530403353185
285.4424312327391,2250.7219243949135
228.89850041668205,2251.1426074344986
174.37000112298048,2250.2542306833625
117.77278774124046,2252.1727582420617
62.14770183530309,2242.8891469835485
7.073886557738964,2239.988830358082
-47.43209653720618,2246.2492646004553
-103.52289708907945,2252.372209977357
-224.36411922807193,2381.705440331153
-281.13311463015987,2351.0006878685394
-373.2554238768862,2192.2008236123093
-502.88416049933136,2284.8124148644856
-552.2155223526019,2237.1021611390133
-603.3720523541131,2214.5235896097347
-774.6372521670303,2385.3723247231474
-1263.5850915195438,2396.2541009854417
-1334.17061078506,2387.798430315553
-1406.2141439501006,2380.711402365832
-1486.7094132656434,2380.0702054786802
-1754.018037047195,2399.828530481522
-1819.3131442150855,2362.3997853424853
-1830.6093209040462,2149.9845526699087
-1837.0988632673004,2051.0558297086877
-1840.33918280225,1952.6859078568539
-1839.691329712705,1858.4296627475303
-1843.6057912102115,1772.1865728856458
-1844.491955715594,1687.9275718467495
-1293.9024979680853,908.9377801873728
-1371.210373574989,819.6269647835773
-1393.0945240057606,787.9644009631168
-1395.011977657656,743.9775414565115
-1394.4322349157242,698.8410439634604
-1392.4838810757497,656.5431371541533
-1393.007076802964,613.2008512525572
-1393.8444555220779,572.27021267087
-1392.9330940156226,533.2069444372088
-1393.2470206457494,494.0504042724212
-1392.8449210626052,454.90723050980944
-1393.0523061009571,417.43063491651526
-1781.9282156228091,263.1223990224164
-1783.9382477283123,218.33893558419302
-1784.7306156858228,174.59150017599362
-1786.0553733710465,129.58304577533193
-1784.1793496573148,85.98320043125383
-1781.9916242252698,42.56878188279295
-1784.7472647648938,-3.124646256858799
-1393.4962644990421,-112.12564749964994
-1393.9251694433788,-145.51588226804628
-1396.6285027596596,-180.5460821488838
-1397.2828906075667,-216.7868160552258
-1396.8857141339743,-252.3698707223526
-1397.4407121133586,-286.46414457678543
-1398.00771403983,-323.7274030494304
-1396.7608852844091,-359.36623636551246
-1395.2417791596235,-396.5483926174563
-1397.3809966083547,-433.2382142861379
-1399.3573314280113,-471.7940456159602
-1400.0402662736099,-510.61954066850967
-1408.6460118838106,-552.8489628314727
-1223.1125243374506,-588.8989750448454
-1209.1198023109425,-620.4113987182596
-1206.0449192033982,-656.7124297313617
-1205.374045446323,-695.2306527796122
-1207.7201155645432,-733.9534623944262
-1207.0150708699168,-775.6430759008227
