x,y
-2418.872427275412,704.0431400608605
-2459.5258226608184,650.1297775556999
-2523.3848826035537,537.5209151724697
-2570.5939671920096,481.22678472425685
-1930.4178374238334,-218.55099051683666
-1916.1969731920717,-263.65170666912576
-1904.5455774528793,-309.3160089692722
-1906.5052534598894,-358.9397143391108
-1482.5117581012285,-684.1282406037661
-1442.7383522367284,-711.1809171970588
-1407.3143526831207,-736.2094642369718
-1371.345333657895,-761.3174277886437
-1334.5714082862794,-783.3743716670704
-1297.4953598049333,-807.0252730148335
-1263.3482505305396,-827.9863814589132
-1230.4340688267912,-851.788854276896
-1198.2152807062241,-874.2486508894962
-1165.8288605261964,-893.7583946258576
-1132.8401110901063,-913.4691265748152
-1264.975396598487,-1295.9777181728475
-1226.24223364478,-1322.4757972930395
-1188.7281315322455,-1344.6386101119722
-1153.1178990419307,-1370.7281544526338
-1114.3978438875208,-1395.0368079512614
-1076.1976392142046,-1417.1869641475585
-1042.466463286089,-1443.413981823577
-1007.2712014864684,-1468.4942251013472
-694.7782656386383,-1202.1711240901461
-666.6229460452721,-1221.7126954836485
-638.5055407892709,-1243.3888116278838
-609.4818671397959,-1259.5365878480022
-580.1057809652997,-1278.8257681915234
-552.9312790871132,-1300.0498310092153
-522.1685738739837,-1318.6254369450069
-493.50755177386907,-1338.1477343111867
-463.1829538586644,-1357.6640973579445
-432.19484427466153,-1377.803910787889
-401.32175875672203,-1397.2579963802002
-370.97275577512016,-1417.510767850676
-341.58387717384977,-1451.3447057315088
-205.9808738380721,-1310.6629780812855
-174.21067300569584,-1316.0193355003955
-144.14983985571882,-1337.7559843519934
-114.44948240471074,-1356.6810848454008
-80.86056075161625,-1373.6220621826567
-49.695335076721,-1394.6148657144065
-14.925368823909501,-1417.421420525833
18.998410091016268,-1439.6246465360384
54.50496348508475,-1464.7362463786747
92.20881424244988,-1491.6527023995905
131.1362920603612,-1516.089158131757
168.2835233841838,-1542.8495246644777
211.2352587252103,-1570.1043684963408
254.03703500816533,-1594.3887339178798
297.6426245729728,-1627.2528784848753
346.1582984149671,-1661.064416251957
396.1026877172755,-1693.8013197489104
448.39774059817097,-1731.120310298061
562.7262969485639,-1806.3784527951382
670.9191764310976,-1834.9404680253301
701.0382244328489,-1783.4123108199176
732.3287162848891,-1733.9433998272625
758.516132620158,-1682.141741665951
803.2746806894653,-1669.5605259658116
852.6611176228383,-1666.2584076289522
890.2241814740314,-1640.2408265919034
1027.2038337537451,-1683.0479334890042
1055.69764587291,-1638.9181585724152
1083.3774580986433,-1594.5260567904566
1106.564011457215,-1542.9736391292356
1123.355100780894,-1488.7237210273595
1146.816182555521,-1443.0465016515516
1171.403592824216,-1402.7009206236796
1195.7868284859542,-1361.7429725610862
1220.2000401873363,-1322.6156327243464
1244.801758144154,-1286.6482213181748
1272.6022222467354,-1251.6823015177097
1297.3943843765715,-1213.5567812789545
1315.8235124160506,-1172.2344247944125
1335.4959052195723,-1132.8403460513557
1360.484518765906,-1095.942915574667
1384.6054280694755,-1061.6121566092509
1408.6553973823775,-1024.3939837413614
1433.7182171853158,-990.3324309094191
1466.4263155071394,-960.0658434129172
1498.2566450255765,-929.1910598131602
1516.9970071193497,-888.9112120402888
1533.5039527954725,-850.3692590637677
1557.6779208088212,-813.9077005562167
1588.6018861209768,-779.9737879652591
1622.3187024850088,-749.3003587129515
1656.7403521959072,-716.4051963838488
1685.6462389245464,-680.3027412112427
1194.883559392402,-248.7439034303031
1220.1173395367787,-222.5617672954928
1238.7419430917193,-195.0240970376524
1257.6407861205107,-167.52974537730353
1275.2164730250665,-138.81826041810837
1295.9859941763036,-108.26150238592435
1319.1307500377845,-79.09686659250272
1341.674358055567,-47.076182260058495
1362.6820790263166,-13.605660605623498
1380.8747407258995,18.599742610573628
1399.7525844548027,52.851346360343676
1423.4845240859372,88.774276611152
1452.0438592911166,125.99555823504356
1479.8398808526827,162.63606469020937
1506.5094797011675,203.9344259082261
1531.9732666974753,245.377586841721
1558.4184662901373,287.6881061599462
1589.726804791793,333.1017091317244
1586.5685643750926,373.7648867092225
1637.4751009577128,468.7599132216064
1672.0977843435228,523.8979500756633
1707.8850819642776,579.4314427124862
1467.2877881079103,625.3731261170375
1432.6647726057502,653.086440936048
1391.510908300303,676.5204760990357
1358.9431599136285,702.4304596356584
1333.6429761723064,731.8455947850426
1309.2456788098414,761.8026745934657
1276.5253343877318,786.2783433150689
1244.3024291919057,807.7646406640505
1214.5527392247136,832.9791150693666
1185.1716378347155,857.3247642359212
1156.497637576727,879.6148101751411
1128.552250674982,904.4384335024871
1100.4719009285946,927.1907005932521
1073.1528486220545,949.6483367512259
1043.5631919504438,969.6267912997253
689.0012802476514,829.072515415327
660.6140866575777,835.3526372195005
637.6488595656322,849.2631699859878
615.6535356215965,863.8062783845852
594.468045224506,877.9167418992275
572.905480410523,893.0287288299228
552.2084253515696,907.4364536818762
530.264113393323,923.3160523608333
509.3692375883828,938.9893728358322
489.34306829736494,955.4818739826101
470.3025014549942,976.6634820270365
447.19514296065176,991.5727742391894
421.5215507698983,997.872809899408
396.90462181095484,1009.5292386479466
373.6389843369815,1023.4276522469133
350.97982574221385,1036.1704309243557
326.3066584354776,1051.2728129085583
302.45570124255585,1066.1794460998926
280.21228336405187,1081.5399385838252
255.5395405761918,1099.186878197747
230.71434838589914,1115.8992514778697
205.44442761177487,1133.2787166726773
180.8716306657019,1148.8491864558766
154.26338690636229,1165.3338823960187
129.15778036212137,1183.4730743755558
101.05022250613337,1201.7590659243895
73.50411988018422,1220.2882423266396
43.51697741879582,1240.2367808915892
14.98494488597105,1259.9108902723099
-16.54460265333558,1280.1430930263396
-48.490173893603604,1303.0981171944684
-79.91722887026496,1328.0976946481376
-114.62105411882692,1350.8960272547583
-149.50277970336631,1374.1411795594245
-187.15657555152416,1399.7937272069148
-224.953594250955,1426.87635429058
-265.80365560520164,1455.4273141132508
-309.23484298403844,1485.91348146002
-353.58866377158546,1517.602754133052
-399.86487828500753,1548.970026054125
-503.25923486037146,1623.2776695709683
-558.9452581843572,1659.3918158027725
-617.1491316071197,1696.4829830730923
-1423.49703188384,2251.4928964395817
-1464.2566878442226,2192.205833083077
-1499.3321432327348,2130.876198719469
-1485.6785194688082,1903.304911670479
-1509.4166301314658,1838.8318130494072
-1549.6774743552023,1793.1535699644023
-1584.6458282620304,1745.143306858134
-1617.098358235856,1697.2038658602269
-1653.9213464240684,1653.5706039787951
-1684.9185196289238,1602.0844491510038
-1710.3315224740545,1548.9746070325307
-1747.7652953747474,1508.1408164636423
-1783.490307303412,1463.3561848554784
-1803.8858902690858,1407.4585943778623
-1831.2563733090715,1357.851301768683
-1864.2832904019047,1313.441305551279
-1908.4259214783024,1275.6295513312994
-1933.3315668326484,1225.4591191420532
-1963.7883737824768,1178.9510053419417
-2134.2268215556805,1143.4716597504012
-2182.9956567931645,1102.2704806090842
-2064.215808734492,912.7223537147576
-2262.590277434502,873.9196109819616
-2318.902242784869,831.5796043718872
-2360.208496946926,781.5720782113005
-2399.0490772421495,730.3243029528675
-2434.740675639619,675.650356979061
-2526.1140629270194,505.7784135195438
-2162.5333798811444,-55.677135341492686
-1927.5905236634833,-242.22373042858163
-1913.402005111361,-288.3015206963415
-1904.181720850651,-335.4313998096382
-1475.4663787995894,-660.9686282510138
-1461.6126293912077,-699.7919487991558
-1425.4588228616587,-725.0294523851113
-1387.6578293704024,-749.2227629931056
-1351.0709564462454,-773.8580429558303
